# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1283
#@/user_id	945c0063-a64b-43b4-94e6-372738e7012b
a 	阿	c=1 d=1 t=829
a bao 	阿宝	c=1 d=1 t=568
ai 	爱	c=0 d=0.0289384 t=1283
ai ai 	爱爱	c=2 d=0.620677 t=1283
an zhao 	按照	c=1 d=1 t=521
an zhuang 	安装	c=4 d=1.1279 t=1172
ba 	把	c=5 d=0.484325 t=1283
ba bao zhou 	八宝粥	c=1 d=1 t=692
bai ling 	白玲	c=0 d=0.1 t=565
bai ling xuan 	白玲轩	c=1 d=1 t=566
bai shuang 	白霜	c=5 d=2.85516 t=1224
ban nian 	半年	c=1 d=0.891366 t=1283
bang 	帮	c=1 d=1 t=1252
bang bang 	棒棒	c=3 d=1.07905 t=1269
bang bang ju 	棒棒居	c=1 d=1 t=460
bao cuo 	报错	c=5 d=2.47579 t=1190
bao zao 	暴躁	c=0 d=0.0904837 t=1283
bei 	被	c=1 d=0.2334 t=1283
bei niao 	被尿	c=0 d=0.1 t=451
bei niao bie xing 	被尿憋醒	c=1 d=1 t=452
bian 	便	c=1 d=1 t=1256
bian bian 	便便	c=1 d=0.172045 t=1283
bian cheng 	变成	c=1 d=1 t=990
bian liang 	变量	c=1 d=1 t=1160
bian xie 	编写	c=1 d=0.373439 t=1283
bie 	憋	c=0 d=0.1 t=451
bing ka fei 	冰咖啡	c=1 d=0.267135 t=1283
bo he 	薄荷	c=10 d=1.53701 t=1283
bo he pin yin 	薄荷拼音	c=1 d=0.151829 t=1283
bo he shu ru fa 	薄荷输入法	c=3 d=0.236928 t=1283
bu 	不	c=1 d=1 t=961
bu cuo 	不错	c=1 d=1 t=1266
bu gou 	不够	c=1 d=1 t=1227
bu hao 	不好	c=1 d=0.814647 t=1283
bu jian le 	不见了	c=0 d=0.0226502 t=1283
bu she zhi 	不设置	c=1 d=1 t=1068
bu shi you 	不是有	c=1 d=0.826959 t=1283
bu xia yu 	不下雨	c=1 d=0.173774 t=1283
bu xing 	不行	c=3 d=0.794534 t=1283
bu yan zheng 	不验证	c=1 d=1 t=1065
bu yao a 	不要啊	c=0 d=0.0946485 t=1283
bu zhi dao 	不知道	c=1 d=1 t=1237
cai fa xian 	才发现	c=1 d=0.666977 t=1283
ce de 	测的	c=1 d=1 t=1080
ce shi 	测试	c=2 d=0.447378 t=1283
cha bu duo le 	差不多了	c=1 d=1 t=887
cha dian 	差点	c=1 d=1 t=454
cha kan 	查看	c=2 d=1.9802 t=558
chang an 	长安	c=1 d=1 t=1174
chao ji 	超级	c=2 d=1.99005 t=663
chen 	陈	c=4 d=0.545794 t=1283
chen yuan xing 	陈元兴	c=4 d=0.695331 t=1283
cheng gong 	成功	c=1 d=0.543351 t=1283
chi 	吃	c=2 d=1.13967 t=1093
chi bao 	吃饱	c=1 d=1 t=402
chi chi 	吃吃	c=2 d=1.14156 t=1125
chi da fan 	吃大饭	c=1 d=0.163654 t=1283
chi diao 	吃掉	c=0 d=0.1 t=975
chi diao la 	吃掉啦	c=1 d=1 t=976
chi diao le 	吃掉了	c=1 d=0.23457 t=1283
chi fan 	吃饭	c=2 d=1.19014 t=730
chi fan fan 	吃饭饭	c=2 d=0.336216 t=1283
chi ge 	吃个	c=1 d=1 t=1133
chi shen me 	吃什么	c=1 d=0.167797 t=1283
chi wan fan 	吃完饭	c=1 d=1 t=718
chi wan la 	吃完啦	c=4 d=1.1514 t=1283
chong 	虫	c=0 d=0.1 t=605
chong chong 	虫虫	c=1 d=1 t=615
chong ci 	冲刺	c=1 d=0.433874 t=1283
chong dian 	充电	c=2 d=1.38509 t=1283
chong dian kou 	充电口	c=1 d=0.535261 t=1283
chong ding xiang 	重定向	c=2 d=1.97045 t=507
chong zhuang 	重装	c=1 d=1 t=1154
chou 	臭	c=0 d=0.1 t=811
chou chou ju 	臭臭居	c=1 d=1 t=1033
chu fa 	触发	c=2 d=1.94649 t=792
chu le 	除了	c=2 d=1.37426 t=1283
chu xian 	出现	c=2 d=1.11304 t=1061
ci 	词	c=0 d=0.0382893 t=1283
ci ku 	词库	c=3 d=0.31229 t=1283
cong 	从	c=1 d=1 t=563
cong na li 	从哪里	c=1 d=1 t=616
cu fa 	促发	c=1 d=1 t=770
cuo wu 	错误	c=1 d=1 t=1063
da 	大	c=9 d=1.76051 t=1247
da chong 	大虫	c=1 d=1.08607 t=635
da chong chong 	大虫虫	c=2 d=1.98511 t=609
da e ju 	大饿居	c=1 d=1 t=473
da fa 	大法	c=1 d=1 t=657
da gou 	打勾	c=1 d=1 t=918
da guai yang 	大怪羊	c=1 d=1 t=944
da ju 	大居	c=5 d=1.13354 t=1283
da kai 	打开	c=1 d=1 t=910
da kun 	大坤	c=1 d=1 t=854
da pang yang 	大胖羊	c=2 d=1.11616 t=1283
da xue 	大学	c=1 d=1 t=1216
da yang 	大羊	c=5 d=1.43422 t=1283
da zhan chang 	大战场	c=1 d=1 t=752
da zi 	打字	c=2 d=0.451874 t=1283
dan shi 	但是	c=1 d=1 t=1054
dao 	到	c=3 d=2.03936 t=1043
dao jia 	到家	c=1 d=1 t=573
dao ru 	导入	c=1 d=0.155673 t=1283
dao shi hou 	到时候	c=2 d=0.834712 t=1283
dao shi hou ke yi he 	到时候可以喝	c=1 d=1 t=814
de 	的	c=21 d=4.45843 t=1283
dei 	得	c=1 d=1 t=1231
deng 	等	c=2 d=0.694197 t=1283
deng hui 	等会	c=1 d=1 t=433
deng lao po 	等老婆	c=0 d=0.0937067 t=1283
deng lao po hui lai 	等老婆回来	c=1 d=0.941765 t=1283
di yi ge 	第一个	c=0 d=0.0382893 t=1283
di yi ge ci 	第一个词	c=1 d=0.384812 t=1283
di zhi 	地址	c=1 d=1 t=511
dian 	点	c=0 d=0.026054 t=1283
dian li 	店里	c=1 d=0.843665 t=1283
dian yi xia 	点一下	c=1 d=1 t=920
dong feng 	东风	c=1 d=1 t=1152
dong feng po 	东风破	c=2 d=1.01897 t=1193
dong xi 	东西	c=1 d=1.10994 t=1057
dou 	都	c=1 d=0.597501 t=1283
dou shi 	都是	c=1 d=0.56836 t=1283
du li 	独立	c=1 d=1 t=689
dui ying 	对应	c=2 d=1.96079 t=773
duo shao 	多少	c=2 d=0.812582 t=1283
e e 	饿饿	c=1 d=1 t=468
en 	嗯	c=1 d=1 t=1248
en en 	嗯嗯	c=30 d=6.16955 t=1283
er bu shi 	而不是	c=1 d=1 t=514
er ci kai fa 	二次开发	c=1 d=0.323033 t=1283
fa 	法	c=1 d=1 t=656
fa gei 	发给	c=1 d=1 t=940
fan 	饭	c=2 d=0.512163 t=1283
fan ye 	翻页	c=1 d=1 t=1261
fan yi 	翻译	c=1 d=1 t=1189
fang fa 	方法	c=1 d=1 t=784
feng he 	缝合	c=1 d=1 t=744
fu he 	符合	c=1 d=1 t=642
fu qian 	付钱	c=0 d=0.0362402 t=1283
fu qian qian 	付钱钱	c=1 d=0.364219 t=1283
fu qin 	父亲	c=1 d=1 t=1016
fu qing 	福清	c=0 d=0.1 t=1010
fu qing shi 	福清市	c=2 d=1.92774 t=1026
gai bian 	改变	c=1 d=1 t=929
gai hui qu 	改回去	c=1 d=1 t=1139
gan jue 	感觉	c=3 d=1.59932 t=1229
gang gang 	刚刚	c=1 d=1 t=535
gao dong xi 	搞东西	c=1 d=1 t=537
ge ge 	哥哥	c=1 d=1 t=827
gen 	跟	c=1 d=0.650509 t=1283
gen ju 	根据	c=1 d=1 t=408
gong yao 	公钥	c=1 d=1 t=534
gou yong 	够用	c=2 d=1.5305 t=1283
guai 	怪	c=0 d=0.1 t=935
guai dong xi 	怪东西	c=1 d=1 t=936
guai guai 	怪怪	c=12 d=1.47417 t=1283
guai guai dong xi 	怪怪东西	c=1 d=0.572367 t=953
guai guai mao 	怪怪猫	c=2 d=0.592039 t=1283
guan 	管	c=0 d=0.1 t=899
guang biao 	光标	c=2 d=0.615306 t=1283
guo nei 	国内	c=1 d=1 t=1143
guo qing 	国庆	c=2 d=1.57609 t=1283
hai chi bu bao 	还吃不饱	c=1 d=0.346456 t=1283
hai hao 	还好	c=1 d=1 t=754
hai hao ya 	还好呀	c=1 d=0.180866 t=1283
hai ke yi 	还可以	c=1 d=0.600496 t=1283
hai mei you 	还没有	c=1 d=0.198891 t=1283
hai shi 	还是	c=2 d=1.10861 t=1230
hai you 	还有	c=1 d=0.18452 t=1283
han ni ba 	汉尼拔	c=2 d=1.85642 t=1004
hang 	行	c=1 d=1 t=1021
hao 	号	c=1 d=1 t=1062
hao hao hao 	好好好	c=3 d=0.150318 t=1283
hao hao xiao 	好好笑	c=1 d=0.188247 t=1283
hao jia huo 	好家伙	c=12 d=2.49013 t=1283
hao jiu 	好久	c=2 d=0.634448 t=1283
hao le 	好了	c=2 d=0.951447 t=1283
hao wen ti 	好问题	c=1 d=1 t=1090
hao xiang 	好像	c=2 d=0.584129 t=1283
hao xiong di 	好兄弟	c=1 d=1 t=994
hao xiong di men 	好兄弟们	c=1 d=1 t=995
he 	和	c=4 d=2.39245 t=1179
he he 	喝喝	c=2 d=0.26982 t=1283
he ka fei 	喝咖啡	c=1 d=0.19205 t=1283
he tian yu 	和田玉	c=1 d=1 t=481
he zhou 	喝粥	c=1 d=0.327915 t=1283
heng ge 	哼歌	c=1 d=0.148823 t=1283
heng pai 	横排	c=1 d=0.145876 t=1283
hong 	红	c=1 d=1 t=875
hua hua 	花花	c=1 d=0.400517 t=1283
huan diao le 	换掉了	c=1 d=1 t=906
huan jing 	环境	c=2 d=1.03597 t=1159
huang mao 	黄毛	c=1 d=1 t=838
hui 	会	c=1 d=1 t=1060
hui bu hui 	会不会	c=1 d=0.554327 t=1283
hui huang 	辉煌	c=1 d=1 t=445
hui lai 	回来	c=0 d=0.0937067 t=1283
huo rong 	火绒	c=1 d=1 t=732
ji cheng 	集成	c=1 d=1 t=1042
ji de 	记得	c=1 d=0.856415 t=1283
ji ji 	寄寄	c=6 d=1.6611 t=1283
ji ji 	急急	c=1 d=0.990806 t=1283
ji ji bao zao 	急急暴躁	c=1 d=0.909373 t=1283
ji ji fan 	寄寄饭	c=1 d=1 t=412
ji ji la 	寄寄啦	c=4 d=0.436049 t=1283
ji le 	寄了	c=1 d=0.244143 t=1283
ji xu 	继续	c=1 d=1 t=945
ji yue 	几月	c=1 d=1 t=797
jia 	加	c=2 d=1.09255 t=956
jia su qiu 	加速球	c=6 d=5.5349 t=723
jian fei 	减肥	c=1 d=0.431711 t=1283
jian tou fa 	剪头发	c=1 d=1 t=834
jiang 	酱	c=1 d=1 t=1218
jiang yin zhen 	江阴镇	c=2 d=1.92774 t=1027
jiao 	叫	c=3 d=2.94128 t=901
jiao huang 	教皇	c=1 d=1 t=446
jie huo 	解惑	c=0 d=0.1 t=921
jin 	金	c=1 d=1 t=479
jin lai de 	进来的	c=1 d=1 t=617
jin tian 	今天	c=2 d=0.40657 t=1283
jin tian shi 	今天是	c=1 d=1 t=626
jing shang 	经商	c=1 d=1 t=1029
jing xiang 	镜像	c=6 d=4.82127 t=1198
jiu 	就	c=1 d=1 t=931
jiu hui 	就会	c=1 d=1 t=928
jiu lai le 	就来了	c=1 d=1 t=967
jiu shi 	就是	c=1 d=0.88692 t=1283
jiu xing 	就行	c=1 d=0.822835 t=1283
jiu zhe ge ba 	就这个吧	c=1 d=0.360595 t=1283
